parent_name	parent_version	child_name	child_version	edge_contexts	cargo_all_targets_active
const_format_proc_macros	0.2.34	unicode-xid	0.2.6	normal:all	true
convert_case	0.10.0	unicode-segmentation	1.12.0	normal:all	true
core-foundation	0.10.1	core-foundation-sys	0.8.7	normal:all	true
core-foundation	0.10.1	libc	0.2.186	normal:all	true
cpp_demangle	0.4.5	cfg-if	1.0.4	normal:all	true
cpufeatures	0.2.17	libc	0.2.186	"normal:aarch64-linux-android;normal:cfg(all(target_arch = ""aarch64"", target_os = ""linux""));normal:cfg(all(target_arch = ""aarch64"", target_vendor = ""apple""));normal:cfg(all(target_arch = ""loongarch64"", target_os = ""linux""))"	true
cpufeatures	0.3.0	libc	0.2.186	"normal:cfg(all(target_arch = ""aarch64"", target_os = ""android""));normal:cfg(all(target_arch = ""aarch64"", target_os = ""linux""));normal:cfg(all(target_arch = ""aarch64"", target_vendor = ""apple""));normal:cfg(all(target_arch = ""loongarch64"", target_os = ""linux""))"	true
cranelift-assembler-x64	0.132.3	cranelift-assembler-x64-meta	0.132.3	build:all	true
cranelift-assembler-x64-meta	0.132.3	cranelift-srcgen	0.132.3	normal:all	true
cranelift-bforest	0.132.3	cranelift-entity	0.132.3	normal:all	true
cranelift-bforest	0.132.3	wasmtime-internal-core	45.0.3	normal:all	true
cranelift-bitset	0.132.3	serde	1.0.228	normal:all	true
cranelift-bitset	0.132.3	serde_derive	1.0.228	normal:all	true
cranelift-bitset	0.132.3	wasmtime-internal-core	45.0.3	normal:all	true
cranelift-codegen	0.132.3	bumpalo	3.20.2	normal:all	true
cranelift-codegen	0.132.3	cranelift-assembler-x64	0.132.3	normal:all	true
cranelift-codegen	0.132.3	cranelift-bforest	0.132.3	normal:all	true
cranelift-codegen	0.132.3	cranelift-bitset	0.132.3	normal:all	true
cranelift-codegen	0.132.3	cranelift-codegen-meta	0.132.3	build:all	true
cranelift-codegen	0.132.3	cranelift-codegen-shared	0.132.3	normal:all	true
cranelift-codegen	0.132.3	cranelift-control	0.132.3	normal:all	true
